Date,Year,Primary Type,Description,Location Description,District,Community Area,Latitude,Longitude,Arrest
05-04-2016 12:00,2016,THEFT,FROM BUILDING,RESIDENCE,3,69,41.75846171,-87.61220124,FALSE
05-04-2016 11:50,2016,THEFT,FROM BUILDING,RESTAURANT,1,28,41.8810399,-87.64116754,FALSE
05-04-2016 14:30,2016,THEFT,$500 AND UNDER,APARTMENT,10,30,41.83972099,-87.72320693,FALSE
05-04-2016 15:00,2016,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),4,52,41.68957883,-87.53648808,FALSE
05-04-2016 14:30,2016,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),1,33,41.85982927,-87.63026974,FALSE
05-04-2016 15:30,2016,THEFT,RETAIL THEFT,DEPARTMENT STORE,6,71,41.75664045,-87.66359084,TRUE
05-04-2016 16:00,2016,THEFT,OVER $500,STREET,12,24,41.89011713,-87.64515722,FALSE
05-04-2016 00:15,2016,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),17,16,41.95608128,-87.72768654,FALSE
05-04-2016 07:30,2016,THEFT,$500 AND UNDER,STREET,9,60,41.84491178,-87.65032856,FALSE
05-04-2016 15:28,2016,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),7,69,41.7690705,-87.62666845,FALSE
05-04-2016 07:20,2016,THEFT,FROM BUILDING,HOTEL/MOTEL,1,35,41.84557767,-87.62747503,FALSE
05-04-2016 17:15,2016,THEFT,$500 AND UNDER,STREET,18,8,41.90450514,-87.64059087,FALSE
05-04-2016 17:00,2016,THEFT,RETAIL THEFT,DEPARTMENT STORE,12,28,41.87782218,-87.65518141,TRUE
05-04-2016 16:44,2016,THEFT,RETAIL THEFT,SMALL RETAIL STORE,8,65,41.75459296,-87.74152854,TRUE
05-04-2016 17:00,2016,THEFT,RETAIL THEFT,SMALL RETAIL STORE,8,65,41.75459296,-87.74152854,TRUE
05-04-2016 16:35,2016,THEFT,RETAIL THEFT,SMALL RETAIL STORE,25,19,41.92367262,-87.78630161,TRUE
05-04-2016 15:30,2016,THEFT,FROM BUILDING,ATHLETIC CLUB,2,41,41.80048316,-87.58741453,FALSE
05-04-2016 18:00,2016,THEFT,RETAIL THEFT,CONVENIENCE STORE,4,43,41.75152734,-87.58229024,FALSE
05-04-2016 17:20,2016,THEFT,RETAIL THEFT,GROCERY FOOD STORE,12,28,41.87782218,-87.65518141,FALSE
05-04-2016 15:24,2016,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,18,8,41.89169066,-87.62636155,FALSE
05-04-2016 17:20,2016,THEFT,FROM BUILDING,ATHLETIC CLUB,2,41,41.80048316,-87.58741453,FALSE
05-04-2016 16:00,2016,THEFT,RETAIL THEFT,SMALL RETAIL STORE,18,8,41.89876792,-87.62411633,TRUE
05-04-2016 16:40,2016,THEFT,FROM BUILDING,RESTAURANT,1,32,41.88519172,-87.62448685,FALSE
05-04-2016 17:53,2016,THEFT,RETAIL THEFT,DEPARTMENT STORE,18,8,41.89789513,-87.62409661,TRUE
05-04-2016 08:30,2016,THEFT,$500 AND UNDER,STREET,10,29,41.85279319,-87.71625185,FALSE
05-04-2016 17:30,2016,THEFT,RETAIL THEFT,SMALL RETAIL STORE,1,33,41.8628591,-87.62405075,FALSE
05-04-2016 16:50,2016,THEFT,RETAIL THEFT,GROCERY FOOD STORE,15,25,41.89491667,-87.75730673,FALSE
05-04-2016 18:15,2016,THEFT,$500 AND UNDER,STREET,12,24,41.89171014,-87.64584162,FALSE
05-04-2016 19:23,2016,THEFT,RETAIL THEFT,DEPARTMENT STORE,8,63,41.80169033,-87.70379207,TRUE
05-04-2016 20:20,2016,THEFT,RETAIL THEFT,SMALL RETAIL STORE,6,69,41.75089655,-87.62781331,TRUE
05-04-2016 21:46,2016,THEFT,RETAIL THEFT,GROCERY FOOD STORE,17,13,41.97551745,-87.72956922,TRUE
05-04-2016 17:00,2016,THEFT,$500 AND UNDER,STREET,9,60,41.83941298,-87.63900344,FALSE
05-04-2016 16:30,2016,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),1,28,41.86789576,-87.64221251,FALSE
05-04-2016 20:30,2016,THEFT,$500 AND UNDER,STREET,14,22,41.91879793,-87.67765705,FALSE
05-04-2016 21:15,2016,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),25,23,41.9121496,-87.736181,FALSE
05-04-2016 06:30,2016,THEFT,FROM BUILDING,GROCERY FOOD STORE,19,7,41.93281253,-87.64435667,FALSE
05-04-2016 20:30,2016,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),16,76,41.97852489,-87.83658904,FALSE
05-04-2016 00:45,2016,THEFT,$500 AND UNDER,STREET,6,71,41.75420459,-87.64933404,FALSE
05-04-2016 19:00,2016,THEFT,$500 AND UNDER,STREET,14,24,41.91142356,-87.69804912,FALSE
05-04-2016 21:00,2016,THEFT,$500 AND UNDER,STREET,19,7,41.92977684,-87.65254035,FALSE
05-04-2016 19:30,2016,THEFT,FROM BUILDING,RESIDENCE,9,63,41.80017952,-87.70252689,FALSE
05-04-2016 22:30,2016,THEFT,$500 AND UNDER,STREET,12,28,41.88309007,-87.68008974,FALSE
05-04-2016 10:00,2016,THEFT,$500 AND UNDER,OTHER,5,49,41.71424746,-87.61516064,FALSE
05-04-2016 19:30,2016,THEFT,$500 AND UNDER,STREET,2,35,41.83660077,-87.61677038,FALSE
05-04-2016 22:00,2016,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),24,2,41.99123349,-87.69212098,FALSE
05-04-2016 10:00,2016,THEFT,$500 AND UNDER,OTHER,1,33,41.85102174,-87.61895485,FALSE
05-04-2016 21:00,2016,THEFT,$500 AND UNDER,STREET,3,43,41.77071568,-87.57397595,FALSE
05-04-2016 22:00,2016,THEFT,OVER $500,STREET,14,22,41.91696854,-87.67879641,FALSE
05-04-2016 17:30,2016,THEFT,$500 AND UNDER,STREET,8,66,41.76927362,-87.68581328,FALSE
05-04-2016 14:00,2016,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,1,33,41.865425,-87.62139377,FALSE
05-04-2016 21:30,2016,THEFT,OVER $500,APARTMENT,18,8,41.90252292,-87.63140683,FALSE
05-04-2016 08:00,2016,THEFT,$500 AND UNDER,STREET,14,24,41.90364414,-87.69073896,FALSE
05-04-2016 19:00,2016,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,11,23,41.89702232,-87.73703819,FALSE
05-04-2016 21:00,2016,THEFT,FROM BUILDING,RESIDENCE,8,66,41.77689887,-87.67979367,FALSE
05-04-2016 19:00,2016,THEFT,$500 AND UNDER,STREET,10,31,41.84845848,-87.68169375,FALSE
05-04-2016 16:00,2016,THEFT,OVER $500,GAS STATION,7,68,41.7799602,-87.63209978,FALSE
05-04-2016 22:00,2016,THEFT,$500 AND UNDER,STREET,8,56,41.79978346,-87.74906042,FALSE
05-04-2016 21:00,2016,THEFT,$500 AND UNDER,APARTMENT,3,43,41.77261505,-87.5740232,FALSE
05-04-2016 15:00,2016,THEFT,OVER $500,VACANT LOT/LAND,5,49,41.70835566,-87.6307397,FALSE
05-04-2016 20:00,2016,THEFT,$500 AND UNDER,STREET,16,11,41.97445955,-87.78221545,FALSE
05-04-2016 22:00,2016,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,19,6,41.9356942,-87.65639159,FALSE
05-04-2016 19:40,2016,THEFT,RETAIL THEFT,DEPARTMENT STORE,18,8,41.91053375,-87.65383232,FALSE
05-04-2016 18:00,2016,THEFT,FROM BUILDING,APARTMENT,18,7,41.92323941,-87.64140611,FALSE
05-04-2016 20:30,2016,THEFT,$500 AND UNDER,STREET,14,22,41.91550919,-87.71301005,FALSE
05-04-2016 18:30,2016,THEFT,OVER $500,STREET,12,24,41.88710051,-87.68658592,FALSE
05-04-2016 21:00,2016,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,8,66,41.77460423,-87.70180238,FALSE
05-04-2016 18:00,2016,THEFT,$500 AND UNDER,STREET,12,28,41.88039587,-87.65279303,FALSE
05-04-2016 16:00,2016,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),7,67,41.77333227,-87.66281967,FALSE
05-04-2016 08:00,2016,THEFT,FROM BUILDING,APARTMENT,4,43,41.75313973,-87.56262426,FALSE
05-04-2016 21:00,2016,THEFT,FROM BUILDING,RESIDENCE,8,66,41.77845723,-87.69337244,FALSE
05-04-2016 19:00,2016,THEFT,$500 AND UNDER,STREET,14,21,41.93657554,-87.70876307,FALSE
05-04-2016 19:25,2016,THEFT,$500 AND UNDER,STREET,14,22,41.92901571,-87.71087639,FALSE
05-04-2016 10:25,2016,THEFT,$500 AND UNDER,APARTMENT,14,22,41.92902698,-87.70941367,FALSE
05-04-2016 16:00,2016,THEFT,$500 AND UNDER,STREET,6,44,41.74757768,-87.60825544,FALSE
05-04-2016 18:00,2016,THEFT,FROM BUILDING,OTHER,20,77,41.98072218,-87.67067782,FALSE
05-05-2016 00:55,2016,THEFT,RETAIL THEFT,OTHER,1,32,41.8740798,-87.63066067,FALSE
02/13/2016 03:00:00 PM,2016,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),1,32,41.88320837,-87.63445694,TRUE
04/25/2016 12:30:00 AM,2016,THEFT,$500 AND UNDER,STREET,22,73,41.70801561,-87.64529363,FALSE
05-02-2016 11:00,2016,THEFT,$500 AND UNDER,APARTMENT,12,28,41.8774702,-87.67822288,FALSE
09-08-2015 20:00,2015,THEFT,OVER $500,OTHER,1,28,41.88151647,-87.63874243,FALSE
05-03-2016 12:35,2016,THEFT,POCKET-PICKING,RESTAURANT,1,32,41.87988689,-87.62935957,FALSE
12-09-2015 12:00,2015,THEFT,OVER $500,APARTMENT,19,7,41.92763776,-87.6682325,FALSE
05-02-2016 09:00,2016,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,24,2,42.00357011,-87.69980067,FALSE
04/29/2016 12:00:00 PM,2016,THEFT,FROM BUILDING,RESIDENCE,11,23,41.89260283,-87.71500571,FALSE
04-12-2016 09:00,2016,THEFT,FROM BUILDING,RESIDENCE,18,8,41.90062965,-87.62831264,FALSE
04/25/2016 04:00:00 PM,2016,THEFT,$500 AND UNDER,RESIDENCE,20,3,41.97467824,-87.65496392,FALSE
05-04-2016 12:44,2016,THEFT,$500 AND UNDER,SIDEWALK,6,71,41.75144452,-87.67195284,FALSE
04/30/2016 10:00:00 AM,2016,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),18,7,41.91525907,-87.63413676,FALSE
04/16/2016 10:00:00 AM,2016,THEFT,$500 AND UNDER,RESIDENCE,19,6,41.93694608,-87.66964269,FALSE
05-02-2016 07:00,2016,THEFT,$500 AND UNDER,STREET,8,56,41.79963938,-87.75638939,FALSE
05-04-2016 09:00,2016,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),8,70,41.74517565,-87.7010465,FALSE
05-04-2016 10:00,2016,THEFT,FROM BUILDING,APARTMENT,18,8,41.88939315,-87.63253485,FALSE
05-02-2016 22:00,2016,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,12,24,41.89758593,-87.68555452,FALSE
04/25/2016 02:30:00 PM,2016,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,1,32,41.87388928,-87.63361483,FALSE
05-02-2016 19:30,2016,THEFT,FROM BUILDING,OTHER,18,8,41.90936893,-87.64945819,FALSE
05-04-2016 23:00,2016,THEFT,$500 AND UNDER,STREET,19,7,41.92994427,-87.65254592,FALSE
05-04-2016 11:00,2016,THEFT,RETAIL THEFT,SMALL RETAIL STORE,18,8,41.89275303,-87.6241939,FALSE
04/30/2016 08:15:00 PM,2016,THEFT,FROM BUILDING,BAR OR TAVERN,18,8,41.8902762,-87.63108919,FALSE
04/17/2016 06:00:00 PM,2016,THEFT,RETAIL THEFT,SMALL RETAIL STORE,1,32,41.88233367,-87.62784179,FALSE
05-04-2016 12:00,2016,THEFT,$500 AND UNDER,STREET,14,22,41.91626794,-87.69819581,FALSE
04/28/2016 12:00:00 PM,2016,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,24,2,41.99961445,-87.68580101,FALSE
04/27/2016 08:30:00 PM,2016,THEFT,OVER $500,STREET,6,44,41.75039031,-87.61652063,FALSE
05-03-2016 08:30,2016,THEFT,FROM BUILDING,RESIDENCE,18,8,41.89155712,-87.63593787,FALSE
05-02-2016 18:00,2016,THEFT,OVER $500,APARTMENT,6,71,41.751618,-87.64770869,FALSE
04/15/2016 05:00:00 PM,2016,THEFT,FROM BUILDING,RESIDENCE,6,71,41.74410697,-87.66449429,FALSE
04/23/2016 02:00:00 AM,2016,THEFT,FROM BUILDING,BAR OR TAVERN,18,7,41.92278653,-87.64504512,FALSE
05-05-2016 00:30,2016,THEFT,$500 AND UNDER,STREET,2,35,41.8363442,-87.62673983,TRUE
05-05-2016 05:45,2016,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),12,28,41.88428728,-87.66166081,FALSE
05-05-2016 00:01,2016,THEFT,$500 AND UNDER,STREET,14,21,41.93666461,-87.71609818,FALSE
05-05-2016 08:15,2016,THEFT,$500 AND UNDER,CTA STATION,14,21,41.93930054,-87.71179449,FALSE
05-05-2016 07:10,2016,THEFT,$500 AND UNDER,STREET,14,24,41.90530188,-87.69077743,FALSE
05-05-2016 07:20,2016,THEFT,FROM BUILDING,RESTAURANT,18,8,41.89478087,-87.63491478,FALSE
04/30/2016 08:16:00 PM,2016,THEFT,$500 AND UNDER,RESIDENCE,5,49,41.68836073,-87.6289876,FALSE
05-02-2016 17:50,2016,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",2,39,41.80408454,-87.60552074,FALSE
05-05-2016 07:05,2016,THEFT,$500 AND UNDER,CTA BUS,1,32,41.87795957,-87.62431341,FALSE
05-05-2016 00:00,2016,THEFT,$500 AND UNDER,STREET,12,24,41.90108126,-87.66293946,FALSE
05-05-2016 06:30,2016,THEFT,OVER $500,STREET,12,24,41.90142898,-87.6698894,FALSE
05-05-2016 09:00,2016,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",5,49,41.69618701,-87.62666131,FALSE
05-05-2016 10:35,2016,THEFT,FROM BUILDING,RESIDENCE,3,43,41.7649009,-87.57694394,FALSE
05-05-2016 07:35,2016,THEFT,OVER $500,APARTMENT,25,19,41.92594687,-87.75753112,FALSE
05-05-2016 08:20,2016,THEFT,$500 AND UNDER,APARTMENT,7,69,41.77013426,-87.62828805,FALSE
05-05-2016 10:30,2016,THEFT,RETAIL THEFT,SMALL RETAIL STORE,1,32,41.88201285,-87.62833005,FALSE
05-05-2016 09:50,2016,THEFT,RETAIL THEFT,GROCERY FOOD STORE,11,26,41.88077315,-87.72181039,TRUE
05-05-2016 06:30,2016,THEFT,FROM BUILDING,RESIDENCE,8,57,41.80706599,-87.72356088,FALSE
05-05-2016 10:00,2016,THEFT,$500 AND UNDER,STREET,19,6,41.93557,-87.64519435,FALSE
05-05-2016 01:00,2016,THEFT,$500 AND UNDER,STREET,19,7,41.93025095,-87.66551528,FALSE
05-05-2016 10:10,2016,THEFT,RETAIL THEFT,SMALL RETAIL STORE,6,71,41.75664045,-87.66359084,TRUE
05-05-2016 11:15,2016,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),14,22,41.92039427,-87.66845103,FALSE
05-05-2016 09:00,2016,THEFT,$500 AND UNDER,STREET,19,7,41.92875567,-87.66983049,FALSE
05-05-2016 11:00,2016,THEFT,FROM BUILDING,RESTAURANT,1,32,41.88238916,-87.62437461,FALSE
05-05-2016 10:45,2016,THEFT,FROM BUILDING,OTHER,19,3,41.96391435,-87.65477293,FALSE
05-05-2016 09:23,2016,THEFT,RETAIL THEFT,DEPARTMENT STORE,5,49,41.69302227,-87.6279152,FALSE
05-05-2016 00:30,2016,THEFT,$500 AND UNDER,STREET,3,43,41.76877616,-87.58285156,FALSE
05-05-2016 09:00,2016,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),8,66,41.76741544,-87.68576232,FALSE
05-05-2016 09:15,2016,THEFT,OVER $500,STREET,15,25,41.88712975,-87.75428077,FALSE
05-05-2016 06:56,2016,THEFT,RETAIL THEFT,SMALL RETAIL STORE,17,21,41.94523828,-87.71267048,TRUE
05-05-2016 12:30,2016,THEFT,$500 AND UNDER,APARTMENT,2,35,41.82917291,-87.62710123,FALSE
05-05-2016 10:30,2016,THEFT,POCKET-PICKING,SIDEWALK,10,30,41.84196375,-87.71716696,FALSE
05-05-2016 10:00,2016,THEFT,OVER $500,CHA APARTMENT,12,28,41.88409313,-87.67552952,FALSE
05-05-2016 11:22,2016,THEFT,RETAIL THEFT,DEPARTMENT STORE,18,8,41.89601097,-87.62427907,FALSE
05-05-2016 13:30,2016,THEFT,OVER $500,OTHER,18,7,41.92427019,-87.63579118,FALSE
05-05-2016 11:15,2016,THEFT,FROM BUILDING,COLLEGE/UNIVERSITY GROUNDS,19,3,41.96538061,-87.65911092,FALSE
05-05-2016 06:00,2016,THEFT,FROM BUILDING,DEPARTMENT STORE,1,28,41.86539738,-87.64066078,FALSE
05-05-2016 13:45,2016,THEFT,OVER $500,STREET,1,32,41.88708027,-87.63397037,FALSE
05-05-2016 12:35,2016,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),1,32,41.88518759,-87.63096129,TRUE
05-06-2016 00:50,2016,THEFT,$500 AND UNDER,RESIDENCE,5,49,41.7081,-87.62174792,FALSE
05-05-2016 11:15,2016,THEFT,OVER $500,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,16,76,41.9790063,-87.90646316,FALSE
05-05-2016 11:35,2016,THEFT,$500 AND UNDER,STREET,1,28,41.87581951,-87.64148457,FALSE
05-05-2016 14:00,2016,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),2,38,41.82074861,-87.62854022,FALSE
05-05-2016 15:33,2016,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),18,8,41.91112462,-87.6379329,FALSE
05-05-2016 04:30,2016,THEFT,$500 AND UNDER,SIDEWALK,10,29,41.85265525,-87.72227651,FALSE
05-05-2016 12:45,2016,THEFT,FROM BUILDING,RESTAURANT,1,32,41.88526052,-87.63391676,FALSE
05-05-2016 11:00,2016,THEFT,OVER $500,OTHER,18,7,41.91857831,-87.63618385,FALSE
05-05-2016 14:30,2016,THEFT,OVER $500,STREET,14,24,41.90823289,-87.67866156,FALSE
05-05-2016 11:00,2016,THEFT,POCKET-PICKING,SMALL RETAIL STORE,25,20,41.93158276,-87.74279494,FALSE
05-05-2016 14:45,2016,THEFT,FROM BUILDING,SMALL RETAIL STORE,6,44,41.73625998,-87.62806878,FALSE
05-05-2016 15:15,2016,THEFT,FROM BUILDING,SMALL RETAIL STORE,18,7,41.91116009,-87.63518447,FALSE
05-05-2016 15:00,2016,THEFT,FROM BUILDING,GROCERY FOOD STORE,18,8,41.89670226,-87.62646422,FALSE
05-05-2016 13:00,2016,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",17,13,41.98289295,-87.72213619,FALSE
